stock,entry_date,exit_date,holding_days,exit_reason,invested,exit_value,pnl,return_pct
Gujarat Narmada Valley Fertilizers & Chemicals Limited ,2019-12-31,2021-01-01,367,holding_period,50000.0,68791.9510511857,18791.951051185693,0.3758390210237139
Cressanda Railway Solutions Limited,2020-01-13,2021-01-07,360,holding_period,50000.0,50000.0,0.0,0.0
Zee Entertainment Enterprises Limited ,2020-01-20,2021-01-14,360,holding_period,50000.0,42355.50633099282,-7644.493669007177,-0.1528898733801436
Eicher Motors Limited,2020-01-24,2021-01-18,360,holding_period,50000.0,68724.81144543944,18724.811445439438,0.37449622890878875
Nectar Lifesciences Limited ,2020-01-30,2021-01-25,361,holding_period,50000.0,50000.0,0.0,0.0
The Karur Vysya Bank Limited ,2020-01-30,2021-01-25,361,holding_period,50000.0,45251.18767264837,-4748.812327351632,-0.09497624654703263
ZF Steering Gear (India) Limited,2020-01-31,2021-01-25,360,holding_period,50000.0,50000.0,0.0,0.0
Nahar Industrial Enterprises Limited,2020-02-06,2021-02-01,361,holding_period,50000.0,50000.0,0.0,0.0
Bharat Bijlee Limited,2020-02-10,2021-02-04,360,holding_period,50000.0,50000.0,0.0,0.0
Igarashi Motors India Limited,2020-02-10,2021-02-04,360,holding_period,50000.0,53055.981262901914,3055.9812629019143,0.06111962525803838
JCT Limited,2020-02-14,2021-02-08,360,holding_period,50000.0,50000.0,0.0,0.0
The India Cements Limited ,2020-02-18,2021-02-12,360,holding_period,50000.0,119246.83443184044,69246.83443184044,1.3849366886368086
RRIL Limited,2020-02-20,2021-02-15,361,holding_period,50000.0,50000.0,0.0,0.0
Bank of Baroda Limited ,2020-02-24,2021-02-18,360,holding_period,50000.0,59856.06958841878,9856.06958841878,0.19712139176837562
Archies Limited ,2020-02-26,2021-02-22,362,holding_period,50000.0,50000.0,0.0,0.0
SML Isuzu Limited,2020-02-26,2021-02-22,362,holding_period,50000.0,50000.0,0.0,0.0
Hindustan Petroleum Corporation Limited ,2020-02-27,2021-02-22,361,holding_period,50000.0,57008.26765164109,7008.267651641087,0.14016535303282174
GeeCee Ventures Limited ,2020-02-28,2021-02-22,360,holding_period,50000.0,50000.0,0.0,0.0
Mangalore Chemicals & Fertilizers Limited,2020-02-28,2021-02-22,360,holding_period,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
Oil and Natural Gas Corporation Limited ,2020-02-28,2021-02-22,360,holding_period,50000.0,57803.15405486272,7803.154054862724,0.15606308109725453
Tata Power Company Limited,2020-03-02,2021-02-25,360,holding_period,50000.0,129977.81868989667,79977.81868989667,1.5995563737979333
Walchandnagar Industries Limited ,2020-03-02,2021-02-25,360,holding_period,50000.0,50000.0,0.0,0.0
IFB Industries Limited ,2020-03-03,2021-02-26,360,holding_period,50000.0,132843.48757783332,82843.48757783332,1.6568697515566666
Cummins India Limited,2020-03-04,2021-03-01,362,holding_period,50000.0,80607.21825676083,30607.218256760825,0.6121443651352165
Tata Chemicals Limited,2020-03-04,2021-03-01,362,holding_period,50000.0,118352.421619377,68352.421619377,1.36704843238754
Saregama India Limited,2020-03-05,2021-03-01,361,holding_period,50000.0,65608.22620876931,15608.226208769309,0.3121645241753861
Borosil Renewables Limited,2020-03-06,2021-03-01,360,holding_period,50000.0,301865.7928987029,251865.7928987029,5.0373158579740585
Royal Orchid Hotels Limited ,2020-03-06,2021-03-01,360,holding_period,50000.0,50000.0,0.0,0.0
Venky's (India) Limited,2020-03-06,2021-03-01,360,holding_period,50000.0,75507.25435674367,25507.254356743666,0.5101450871348734
Apollo Tyres Limited ,2020-03-09,2021-03-04,360,holding_period,50000.0,113452.59851659136,63452.59851659136,1.269051970331827
Century Enka Limited ,2020-03-09,2021-03-04,360,holding_period,50000.0,49999.99999999999,-7.275957614183426e-12,-1.1102230246251565e-16
ITC Limited ,2020-03-09,2021-03-04,360,holding_period,50000.0,59250.81018660606,9250.81018660606,0.18501620373212124
IndusInd Bank Limited ,2020-03-09,2021-03-04,360,holding_period,50000.0,67436.50720564155,17436.507205641552,0.348730144112831
Kanoria Chemicals & Industries Limited ,2020-03-09,2021-03-04,360,holding_period,50000.0,50000.0,0.0,0.0
