
lookback_quarters,threshold,exit_method,exit_param,statistic,na_allowed_pct,initial_capital,max_positions,position_size_pct,initial_value,final_value,CAGR,max_drawdown,Sharpe,win_ratio,Calmar,num_trades,start_date,end_date
16,0.4,holding_period,3Y,mean,0.3,10000000,200,0.005,10000000.0,36973706.28284711,0.0559958410931376,-0.36795621203078094,0.652787079117115,0.5825105782792666,0.15218071950488862,709,2001-01-01,2025-01-01
16,0.4,holding_period,5Y,mean,0.3,10000000,200,0.005,10000000.0,55903542.5783994,0.07434385821179879,-0.3739571731604849,0.721681915372635,0.5855513307984791,0.19880313455009965,526,2001-01-01,2025-01-01
16,0.4,holding_period,7Y,mean,0.3,10000000,200,0.005,10000000.0,59706683.57223972,0.07729412028051907,-0.3739571731604849,0.6882859657697391,0.6321428571428571,0.20669243920973823,280,2001-01-01,2025-01-01
16,0.4,sell_threshold,10pct,mean,0.3,10000000,200,0.005,10000000.0,67132803.67926273,0.08256907326036278,-0.29621786649818754,0.9192938767369436,0.6689419795221843,0.27874440605650636,293,2001-01-01,2025-01-01
16,0.4,sell_threshold,20pct,mean,0.3,10000000,200,0.005,10000000.0,76280509.4366354,0.08834661964163981,-0.29621786649818754,0.9361820134919616,0.6502057613168725,0.2982487879142846,243,2001-01-01,2025-01-01
16,0.4,sell_threshold,30pct,mean,0.3,10000000,200,0.005,10000000.0,79657214.2608316,0.09031263884264562,-0.29621786649818754,0.9239974740016585,0.6635514018691588,0.3048858595543163,214,2001-01-01,2025-01-01
16,0.4,sell_threshold,40pct,mean,0.3,10000000,200,0.005,10000000.0,83261428.7367798,0.09232488432251573,-0.29621786649818754,0.9255121304542901,0.6578947368421053,0.311678986193362,190,2001-01-01,2025-01-01
16,0.4,sell_threshold,50pct,mean,0.3,10000000,200,0.005,10000000.0,85049231.75806622,0.09329224224317434,-0.29621786649818754,0.9243767415443767,0.6538461538461539,0.31494468360754724,156,2001-01-01,2025-01-01
16,0.5,holding_period,1Q,mean,0.3,10000000,200,0.005,10000000.0,17133428.788806353,0.02268882835035746,-0.2592043130110855,0.5330325365743873,0.3546126897625535,0.08753260347711543,2569,2001-01-01,2025-01-01
16,0.4,sell_threshold,60pct,mean,0.3,10000000,200,0.005,10000000.0,89165003.06064978,0.09544716192943126,-0.29621786649818754,0.9169307805497907,0.6308724832214765,0.32221946318695555,149,2001-01-01,2025-01-01
16,0.5,holding_period,2Q,mean,0.3,10000000,200,0.005,10000000.0,21157696.098365463,0.03171841502270056,-0.26838328806790257,0.6851711906603778,0.40051347881899874,0.11818327158535898,1558,2001-01-01,2025-01-01
16,0.4,sell_threshold,70pct,mean,0.3,10000000,200,0.005,10000000.0,96192752.92942497,0.09891541314982844,-0.29621786649818754,0.9343032386307624,0.6187050359712231,0.3339279102884014,139,2001-01-01,2025-01-01
16,0.5,holding_period,3Q,mean,0.3,10000000,200,0.005,10000000.0,23638051.9373003,0.03649486162186055,-0.271746019680136,0.6610368993320838,0.4217573221757322,0.13429768599671688,1195,2001-01-01,2025-01-01
16,0.5,holding_period,4Q,mean,0.3,10000000,200,0.005,10000000.0,27297643.775226843,0.042730031467624885,-0.26198458168955185,0.7500696549198628,0.45436507936507936,0.16310132142913428,1008,2001-01-01,2025-01-01
16,0.4,sell_threshold,80pct,mean,0.3,10000000,200,0.005,10000000.0,101866106.87486352,0.1015424492330328,-0.29621786649818754,0.9494193860927385,0.6585365853658537,0.3427965045911709,123,2001-01-01,2025-01-01
16,0.5,holding_period,2Y,mean,0.3,10000000,200,0.005,10000000.0,36124270.237968355,0.05497368888906484,-0.24107442511510885,0.7728500595836535,0.5507246376811594,0.22803617124801132,690,2001-01-01,2025-01-01
16,0.5,holding_period,3Y,mean,0.3,10000000,200,0.005,10000000.0,35320998.00697254,0.05398567165361112,-0.3235289440724087,0.6700657741533639,0.5628227194492255,0.16686504451214926,581,2001-01-01,2025-01-01
16,0.5,holding_period,5Y,mean,0.3,10000000,200,0.005,10000000.0,51967843.419240765,0.07108091011527318,-0.3277455752732651,0.7330814820437818,0.5454545454545454,0.21687832110626637,418,2001-01-01,2025-01-01
16,0.5,holding_period,7Y,mean,0.3,10000000,200,0.005,10000000.0,66932827.323534764,0.08243451545550484,-0.3277455752732651,0.7477737226518624,0.6451612903225806,0.25151984244721914,248,2001-01-01,2025-01-01
16,0.5,sell_threshold,10pct,mean,0.3,10000000,200,0.005,10000000.0,70275493.00006495,0.08463470363715109,-0.2510849709705283,0.9797887498126994,0.6465863453815262,0.3370759440917923,249,2001-01-01,2025-01-01
16,0.5,sell_threshold,20pct,mean,0.3,10000000,200,0.005,10000000.0,78224969.81985772,0.08948868746645222,-0.2510849709705283,0.9757006772309917,0.6255924170616114,0.3564079806152801,211,2001-01-01,2025-01-01
16,0.5,sell_threshold,30pct,mean,0.3,10000000,200,0.005,10000000.0,80580702.23621272,0.09083641395511655,-0.2510849709705283,0.9586018341021297,0.6348314606741573,0.36177559176084134,178,2001-01-01,2025-01-01
16,0.5,sell_threshold,40pct,mean,0.3,10000000,200,0.005,10000000.0,88525725.94354458,0.09511878597267254,-0.2510849709705283,0.9779447931815644,0.6612021857923497,0.3788310610746883,183,2001-01-01,2025-01-01
16,0.5,sell_threshold,50pct,mean,0.3,10000000,200,0.005,10000000.0,88257792.94161375,0.09498048114949365,-0.2510849709705283,0.9554601902511817,0.6470588235294118,0.37828023231482943,136,2001-01-01,2025-01-01
16,0.5,sell_threshold,60pct,mean,0.3,10000000,200,0.005,10000000.0,95007018.3051591,0.09834763784072376,-0.25340220723618184,0.9513215637431649,0.6260162601626016,0.3881088444863446,123,2001-01-01,2025-01-01
16,0.5,sell_threshold,70pct,mean,0.3,10000000,200,0.005,10000000.0,105754523.12064226,0.10326317636919913,-0.2510849709705283,0.9743214216410545,0.6287878787878788,0.4112678507600516,132,2001-01-01,2025-01-01
16,0.6,holding_period,1Q,mean,0.3,10000000,200,0.005,10000000.0,15351878.852061529,0.018020985406347334,-0.1918966556030357,0.5560556585924719,0.33891992551210426,0.09390984616024883,1611,2001-01-01,2025-01-01
16,0.5,sell_threshold,80pct,mean,0.3,10000000,200,0.005,10000000.0,110442100.56026784,0.10525870500301826,-0.2510849709705283,0.9874463003469153,0.6220472440944882,0.41921547353534455,127,2001-01-01,2025-01-01
16,0.6,holding_period,2Q,mean,0.3,10000000,200,0.005,10000000.0,18689513.305543568,0.026399857334882038,-0.19798820369740186,0.7248307650932159,0.37673956262425445,0.1333405568709065,1006,2001-01-01,2025-01-01
16,0.6,holding_period,3Q,mean,0.3,10000000,200,0.005,10000000.0,20741483.00873538,0.03086467686507577,-0.2048405654440827,0.6617278823656082,0.4071246819338422,0.15067658497311265,786,2001-01-01,2025-01-01
16,0.6,holding_period,4Q,mean,0.3,10000000,200,0.005,10000000.0,24979124.68751643,0.03888079369963382,-0.1941513526422376,0.8096903683604886,0.4472140762463343,0.2002602256976257,682,2001-01-01,2025-01-01
16,0.6,holding_period,2Y,mean,0.3,10000000,200,0.005,10000000.0,31600566.741499104,0.049109016710904285,-0.17860952972573735,0.8053200156314155,0.5059288537549407,0.2749518280817004,506,2001-01-01,2025-01-01
16,0.6,holding_period,3Y,mean,0.3,10000000,200,0.005,10000000.0,29603013.070095036,0.04625849333272081,-0.263034504216109,0.6588315934067018,0.5300668151447662,0.17586473482092999,449,2001-01-01,2025-01-01
16,0.6,holding_period,5Y,mean,0.3,10000000,200,0.005,10000000.0,49440213.19885975,0.06885800451335244,-0.2650203805023263,0.772315611765722,0.504950495049505,0.25982154422553183,303,2001-01-01,2025-01-01
