date,equity
2021-11-29,11696818.89618226
2021-11-30,11723271.237909516
2021-12-01,11737191.190567318
2021-12-02,11743580.714606306
2021-12-03,11735658.128103035
2021-12-06,11703312.228825893
2021-12-07,11710875.242188629
2021-12-08,11713834.090115797
2021-12-09,11709532.68504996
2021-12-10,11739208.896632006
2021-12-13,11769243.237724401
2021-12-14,11803956.93300057
2021-12-15,11837592.953735538
2021-12-16,11872234.09903456
2021-12-17,11831268.972557446
2021-12-20,11789266.36161799
2021-12-21,11761247.996533643
2021-12-22,11778122.438116115
2021-12-23,11781842.4253008
2021-12-24,11775752.392208219
2021-12-27,11740724.056829447
2021-12-28,11725508.837148761
2021-12-29,11728503.130270608
2021-12-30,11728844.358836655
2021-12-31,11761606.932731565
2022-01-03,11798825.328778604
2022-01-04,11804458.588733736
2022-01-05,11790965.819724064
2022-01-06,11799469.455014998
2022-01-07,11815872.494404158
2022-01-10,11800773.60060558
2022-01-11,11794584.370266793
2022-01-12,11787639.969531126
2022-01-13,11788984.47633101
2022-01-14,11793890.773220954
2022-01-17,11785089.700472638
2022-01-18,11759987.00581377
2022-01-19,11766089.851732211
2022-01-20,11795454.499133613
2022-01-21,11773791.464759937
2022-01-24,11739441.506589532
2022-01-25,11752350.073742239
2022-01-26,11762922.795307657
2022-01-27,11773495.516873073
2022-01-28,11762838.769616634
2022-01-31,11773368.044680363
2022-02-01,11794760.565641906
2022-02-02,11823508.206508264
2022-02-03,11823736.742082672
2022-02-04,11848474.983151384
2022-02-07,11836456.995183026
2022-02-08,11822317.583062325
2022-02-09,11808976.038241284
2022-02-10,11795114.717512988
2022-02-11,11784400.85207618
2022-02-14,11735954.071241653
2022-02-15,11771365.2265174
2022-02-16,11761660.414834602
2022-02-17,11753037.24064847
2022-02-18,11741258.795272054
2022-02-21,11726845.794203287
2022-02-22,11694274.373565808
2022-02-23,11710203.68989823
2022-02-24,11638873.393288456
2022-02-25,11647403.272905624
2022-02-28,11646377.602901379
2022-03-01,11644946.995383814
2022-03-02,11643516.387866251
2022-03-03,11643289.77785823
2022-03-04,11640085.732324693
2022-03-07,11627304.868847629
2022-03-08,11628456.18654613
2022-03-09,11635227.149727182
2022-03-10,11642196.67824042
2022-03-11,11641616.323123053
2022-03-14,11641859.067464039
2022-03-15,11641420.867339611
2022-03-16,11642125.933324853
2022-03-17,11642746.889855713
2022-03-18,11642218.8691613
2022-03-21,11641690.848466886
2022-03-22,11640492.547721393
2022-03-23,11640182.069455964
2022-03-24,11639919.357077524
2022-03-25,11639651.452735629
2022-03-28,11640110.42062548
2022-03-29,11640358.59559464
2022-03-30,11640957.745967388
2022-03-31,11641637.890616445
2022-04-01,11642250.540005779
2022-04-04,11643295.159163399
2022-04-05,11643530.873420272
2022-04-06,11643577.600914571
2022-04-07,11644050.06782101
2022-04-08,11644429.079738852
2022-04-11,11644013.724253617
2022-04-12,11643374.076742716
2022-04-13,11643787.355442569
2022-04-14,11644052.144606391
2022-04-18,11644316.933770213
2022-04-19,11642975.335452141
2022-04-20,11644053.182999082
2022-04-21,11644738.519611591
2022-04-22,11643264.00747107
2022-04-25,11642719.891734146
2022-04-26,11643708.437951641
2022-04-27,11643640.942691918
2022-04-28,11645650.225035148
2022-04-29,11645504.850588799
2022-05-02,11645414.510778274
2022-05-03,11644802.38054109
2022-05-04,11644190.250303905
2022-05-05,11644087.449869482
2022-05-06,11643726.090538992
2022-05-09,11643050.099372309
2022-05-10,11644374.045191417
2022-05-11,11644023.069787832
2022-05-12,11643510.105654849
2022-05-13,11644658.563727971
2022-05-16,11645139.337775934
